Trial Number,Id,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
1,0,Fixed,148.0,148.0,N/A,50.0,50.0,Failed,0.0,False,False,1116071430,779921551,336149879,30.1190291198476,18601190.5,12998725.25,34.79,14520.63,76.144,0.0,115.16,0.128,722311969,0,No,60.0
1,1,Fixed,148.0,148.0,N/A,25.5,25.5,Passed,25.5,False,False,569196462,569193204,3258,0.000572385848737057,9486607.7,9486554.48,11.74,479.1,26.958,0.0,33.92,0.406,522938188,0,No,60.0
1,2,Fixed,148.0,148.0,N/A,37.75,37.75,Failed,0.0,False,False,842633934,788377727,54256207,6.43888227269043,14043898.9,13139621.94,17.46,655.36,71.693,0.0,22.77,0.205,729284717,0,No,60.0
1,3,Fixed,148.0,148.0,N/A,31.625,31.625,Passed,31.625,False,False,705915196,705908768,6428,0.000910590965660413,11765253.267,11765146.74,11.9,614.97,37.583,0.0,27.61,0.297,655093148,0,No,60.0
1,4,Fixed,148.0,148.0,N/A,34.688,34.688,Failed,0.0,False,False,774274568,774146338,128230,0.0165613085202096,12904576.133,12902435.04,15.46,648.54,48.766,0.0,23.3,0.232,717606197,0,No,60.0
1,5,Fixed,148.0,148.0,N/A,33.156,33.156,Passed,33.156,False,False,740094910,740088579,6331,0.000855430825757199,12334915.167,12334809.75,12.59,652.19,40.282,0.0,25.25,0.257,683875177,0,No,60.0
1,6,Fixed,148.0,148.0,N/A,33.922,33.922,Failed,0.0,False,False,757184744,757176232,8512,0.0011241642237842,12619745.733,12619603.04,13.0,643.54,41.879,0.0,24.16,0.246,699846763,0,No,60.0
1,7,Fixed,512.0,512.0,N/A,50.0,50.0,Passed,50.0,False,False,352443610,352441199,2411,0.000684081064769482,5874060.167,5874020.07,11.68,628.52,20.221,0.0,16.49,0.496,311313795,0,No,60.0
1,8,Fixed,512.0,512.0,N/A,75.0,75.0,Passed,75.0,False,False,528665446,528660873,4573,0.00086500830243405,8811090.767,8811015.7,13.52,668.18,28.068,0.0,30.35,0.184,490483292,0,No,60.0
1,9,Fixed,512.0,512.0,N/A,87.5,87.5,Passed,87.5,False,False,616776352,616771736,4616,0.000748407422728166,10279605.867,10279526.45,14.8,540.47,38.78,0.0,25.62,0.074,579804790,0,No,60.0
1,10,Fixed,512.0,512.0,N/A,93.75,93.75,Passed,93.75,False,False,660831806,660825964,5842,0.000884037352160982,11013863.433,11013763.37,16.17,616.87,44.772,0.0,15.7,0.038,622457231,0,No,60.0
1,11,Fixed,512.0,512.0,N/A,96.875,96.875,Passed,96.875,False,False,682859514,682852834,6680,0.000978239281000923,11380991.9,11380876.82,16.97,646.32,47.521,0.0,17.76,0.025,643227558,0,No,60.0
1,12,Fixed,512.0,512.0,N/A,98.438,98.438,Failed,0.0,False,False,693873397,693866040,7357,0.00106027987696436,11564556.617,11564429.21,18.57,662.24,50.302,0.0,15.04,0.02,655136833,0,No,60.0
1,13,Fixed,512.0,512.0,N/A,97.656,97.656,Passed,97.656,False,False,688366470,688360413,6057,0.000879909214636791,11472774.5,11472669.39,17.31,640.47,48.865,0.0,13.78,0.022,648768564,0,No,60.0
1,14,Fixed,1518.0,1518.0,N/A,50.0,50.0,Passed,50.0,False,False,121911574,121911381,193,0.000158311465981072,2031859.567,2031856.5,11.69,585.1,19.096,0.0,15.31,1.16,79503095,0,No,60.0
1,15,Fixed,1518.0,1518.0,N/A,75.0,75.0,Passed,75.0,False,False,182867370,182866939,431,0.000235689942935145,3047789.5,3047782.45,11.94,624.72,20.604,0.0,14.73,0.651,142281810,0,No,60.0
1,16,Fixed,1518.0,1518.0,N/A,87.5,87.5,Passed,87.5,False,False,213345267,213344539,728,0.000341230911862694,3555754.45,3555742.36,11.97,595.22,21.535,0.0,13.58,0.483,172658425,0,No,60.0
1,17,Fixed,1518.0,1518.0,N/A,93.75,93.75,Passed,93.75,False,False,228584214,228583539,675,0.000295295982250113,3809736.9,3809725.54,12.28,601.68,22.363,0.0,12.89,0.39,185423622,0,No,60.0
1,18,Fixed,1518.0,1518.0,N/A,96.875,96.875,Passed,96.875,False,False,236203682,236202630,1052,0.00044537832395009,3936728.033,3936710.45,12.8,622.71,23.518,0.0,12.51,0.381,194804511,0,No,60.0
1,19,Fixed,1518.0,1518.0,N/A,98.438,98.438,Passed,98.438,False,False,240013426,240012711,715,0.000297900001644075,4000223.767,4000211.64,13.78,579.57,24.613,0.0,12.65,0.376,199096264,0,No,60.0
1,20,Fixed,1518.0,1518.0,N/A,99.219,99.219,Passed,99.219,False,False,241918280,241917861,419,0.000173198982730863,4031971.333,4031963.88,13.1,577.52,25.66,0.0,11.44,0.36,201088052,0,No,60.0
1,21,Fixed,1518.0,1518.0,N/A,100.0,100.0,Passed,100.0,False,False,243823148,243820805,2343,0.000960942395838479,4063719.133,4063656.91,15.02,732.89,229.056,0.0,6.04,0.517,232472905,0,No,60.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,#https://gist.github.com/pinggit/b322111b158dac260a5bcdd17c64ea4d
,,,,,,,,,,,,,,,,,,,,,,,,,,,#GistID b322111b158dac260a5bcdd17c64ea4d
